model_index,max_depth,criterion,min_samples_leaf,accuracy,precision_class_1,precision_class_2,precision_class_3,precision_class_4,average precision,recall_class_1,recall_class_2,recall_class_3,recall_class_4,average recall,f_measure_class_1,f_measure_class_2,f_measure_class_3,f_measure_class_4,average f_measure
179,7,gini,8,0.8125,0.9056603773584906,0.7659574468085106,0.8478260869565217,0.0,0.6298609777808808,0.75,0.907563025210084,0.6964285714285714,0.0,0.5884978991596639,0.8205128205128206,0.8307692307692306,0.7647058823529412,0,0.6039969834087481
180,7,gini,9,0.8125,0.9056603773584906,0.7659574468085106,0.8478260869565217,0.0,0.6298609777808808,0.75,0.907563025210084,0.6964285714285714,0.0,0.5884978991596639,0.8205128205128206,0.8307692307692306,0.7647058823529412,0,0.6039969834087481
181,7,gini,10,0.8125,0.9056603773584906,0.7659574468085106,0.8478260869565217,0.0,0.6298609777808808,0.75,0.907563025210084,0.6964285714285714,0.0,0.5884978991596639,0.8205128205128206,0.8307692307692306,0.7647058823529412,0,0.6039969834087481
182,7,gini,11,0.8125,0.9056603773584906,0.7659574468085106,0.8478260869565217,0.0,0.6298609777808808,0.75,0.907563025210084,0.6964285714285714,0.0,0.5884978991596639,0.8205128205128206,0.8307692307692306,0.7647058823529412,0,0.6039969834087481
183,7,gini,12,0.8125,0.9056603773584906,0.7659574468085106,0.8478260869565217,0.0,0.6298609777808808,0.75,0.907563025210084,0.6964285714285714,0.0,0.5884978991596639,0.8205128205128206,0.8307692307692306,0.7647058823529412,0,0.6039969834087481
184,7,gini,13,0.8125,0.9056603773584906,0.7659574468085106,0.8478260869565217,0.0,0.6298609777808808,0.75,0.907563025210084,0.6964285714285714,0.0,0.5884978991596639,0.8205128205128206,0.8307692307692306,0.7647058823529412,0,0.6039969834087481
185,7,gini,14,0.8125,0.9056603773584906,0.7659574468085106,0.8478260869565217,0.0,0.6298609777808808,0.75,0.907563025210084,0.6964285714285714,0.0,0.5884978991596639,0.8205128205128206,0.8307692307692306,0.7647058823529412,0,0.6039969834087481
186,7,gini,15,0.7916666666666666,0.9130434782608695,0.7364864864864865,0.8478260869565217,0.0,0.6243390129259694,0.65625,0.9159663865546218,0.6964285714285714,0.0,0.5671612394957983,0.7636363636363634,0.8164794007490637,0.7647058823529412,0,0.5862054116845921
187,7,gini,16,0.7916666666666666,0.9130434782608695,0.7364864864864865,0.8478260869565217,0.0,0.6243390129259694,0.65625,0.9159663865546218,0.6964285714285714,0.0,0.5671612394957983,0.7636363636363634,0.8164794007490637,0.7647058823529412,0,0.5862054116845921
188,7,gini,17,0.7875,0.9130434782608695,0.7315436241610739,0.8444444444444444,0.0,0.622257886716597,0.65625,0.9159663865546218,0.6785714285714286,0.0,0.5626969537815125,0.7636363636363634,0.8134328358208955,0.7524752475247526,0,0.5823861117455029
189,7,gini,18,0.7875,0.9130434782608695,0.7315436241610739,0.8444444444444444,0.0,0.622257886716597,0.65625,0.9159663865546218,0.6785714285714286,0.0,0.5626969537815125,0.7636363636363634,0.8134328358208955,0.7524752475247526,0,0.5823861117455029
190,7,gini,19,0.775,0.9130434782608695,0.7171052631578947,0.8333333333333334,0.0,0.6158705186880244,0.65625,0.9159663865546218,0.625,0.0,0.5493040966386554,0.7636363636363634,0.8044280442804428,0.7142857142857143,0,0.5705875305506302
191,7,entropy,1,0.8916666666666667,0.9824561403508771,0.8861788617886179,0.8166666666666667,0.0,0.6713254172015404,0.875,0.9159663865546218,0.875,0.0,0.6664915966386554,0.9256198347107438,0.9008264462809917,0.8448275862068966,0,0.6678184667996581
192,7,entropy,2,0.8958333333333334,0.9824561403508771,0.88,0.8448275862068966,0.0,0.6768209316394433,0.875,0.9243697478991597,0.875,0.0,0.66859243697479,0.9256198347107438,0.901639344262295,0.8596491228070176,0,0.6717270754450141
193,7,entropy,3,0.8916666666666667,1.0,0.8615384615384616,0.8545454545454545,0.0,0.679020979020979,0.859375,0.9411764705882353,0.8392857142857143,0.0,0.6599592962184874,0.9243697478991597,0.8995983935742972,0.8468468468468467,0,0.6677037470800758
194,7,entropy,4,0.9125,1.0,0.8778625954198473,0.9038461538461539,0.0,0.6954271873165003,0.890625,0.9663865546218487,0.8392857142857143,0.0,0.6740743172268908,0.9421487603305785,0.9200000000000002,0.8703703703703703,0,0.6831297826752373
